,number,value,datetime_start,datetime_complete,duration,params_batchsize,params_beta_1,params_beta_2,params_cnn_dropout_factor,params_cnn_kernel_size,params_dense_dropout_factor,params_epsilon,params_learning_rate,params_nb_cnn_input_kernel,params_nb_cnn_layers,params_nb_dense_layers,params_num_hidden0,params_num_hidden1,params_num_hidden2,params_num_hidden3,params_num_kernel0,params_num_kernel1,params_num_kernel2,params_num_kernel3,state
129,129,0.5264630317687988,2021-08-15 03:24:20.493758,2021-08-15 03:36:20.051204,0 days 00:11:59.557446,512,0.1993959526737341,0.9136578147076497,0.06870164973507029,3,0.18549292598188966,2.2382948348647357e-05,0.00016911316219133982,24.689412626136765,2,1,109.07132360345048,,,,24.07082822101055,32.92127071149182,,,COMPLETE
130,130,0.07611992955207825,2021-08-15 03:36:20.087236,2021-08-15 03:38:48.868989,0 days 00:02:28.781753,512,0.19833318611982814,1.127966370967093,0.0689725286253726,3,0.21047511162557309,2.4865777504831124e-05,0.00017596029204468012,24.331414304675263,2,1,121.28205558655304,,,,27.689211668127186,31.38698839247422,,,COMPLETE
131,131,0.508776843547821,2021-08-15 03:38:48.918122,2021-08-15 03:54:39.978829,0 days 00:15:51.060707,512,0.18833615411063115,0.9334682537799034,0.07139986906086356,3,0.2345722017737308,1.3264952017636032e-05,0.00012068059677925534,29.851838836978644,2,1,108.39669495788674,,,,23.728776816845905,27.456657411096565,,,COMPLETE
132,132,0.5221776962280273,2021-08-15 03:54:40.022243,2021-08-15 04:09:53.638475,0 days 00:15:13.616232,512,0.1855864008092463,0.9918258720903823,0.08258522986198544,3,0.2636998698546881,1.1359115173759509e-05,0.00013147830295948782,30.81417879967602,2,1,106.57478050994798,,,,23.03787617382704,37.54189826472799,,,COMPLETE
133,133,0.5127971172332764,2021-08-15 04:09:53.696527,2021-08-15 04:20:12.677149,0 days 00:10:18.980622,512,0.2014019983366325,0.9950017784276056,0.09277136517948721,3,0.2676050290956243,9.611540463349449e-06,0.00021669061399539274,32.62841108043509,2,1,120.00703877231572,,,,21.419035523243977,34.66783355601647,,,COMPLETE
134,134,0.07611992955207825,2021-08-15 04:20:12.719002,2021-08-15 04:23:03.922287,0 days 00:02:51.203285,512,0.17097464601567097,1.2924613284373585,0.0875049548639778,3,0.3062975686495395,9.319704987911844e-06,0.00024322993723342818,36.277464300745876,2,1,120.23808041517127,,,,19.359073060626994,36.96166354572541,,,COMPLETE
135,135,0.07611992955207825,2021-08-15 04:23:03.966733,2021-08-15 04:25:42.770821,0 days 00:02:38.804088,512,0.2018232823904812,1.0139015718491335,0.06534069754500439,3,0.24983055193511589,6.854689975763718e-06,0.0001807815828604132,30.396798182476,2,1,109.77775820132898,,,,24.671791254058736,33.51500313529421,,,COMPLETE
136,136,0.07611992955207825,2021-08-15 04:25:42.811707,2021-08-15 04:28:11.396347,0 days 00:02:28.584640,512,0.1855089820848933,1.0986528005547116,0.08200687344907076,3,0.26672111860249487,1.0762207113359482e-05,0.0002139925017300723,24.59156002608151,2,1,104.94351304891731,,,,21.823787516918127,39.50132161741467,,,COMPLETE
137,137,0.5207787156105042,2021-08-15 04:28:11.432380,2021-08-15 04:39:26.659936,0 days 00:11:15.227556,512,0.21377043301006732,0.9022392488957323,0.09405598942270496,3,0.19357039942379692,1.7963026466652536e-05,0.0001222062343613872,20.666988358171455,2,1,118.09083485532294,,,,19.24676034519408,43.634967740044246,,,COMPLETE
138,138,0.07611992955207825,2021-08-15 04:39:26.702981,2021-08-15 04:41:42.448418,0 days 00:02:15.745437,512,0.16191388095448886,1.2131091027123206,0.09419445804065878,3,0.2095256212021037,4.3186968096711583e-05,0.00012561891847183426,20.226651733250463,2,1,14.791006149466744,,,,16.075874470596542,36.376549760228094,,,COMPLETE
139,139,0.5504226684570312,2021-08-15 04:41:42.488088,2021-08-15 04:58:16.683306,0 days 00:16:34.195218,512,0.21937524269006023,0.9048459433403832,0.05100306154040382,3,0.1873499413598238,5.939747402450876e-05,0.00015857346743961497,34.263482968455946,2,1,116.52732205173844,,,,19.41979001354862,45.46638111870695,,,COMPLETE
