,number,value,datetime_start,datetime_complete,duration,params_batchnorm,params_batchsize,params_beta_1,params_beta_2,params_dense_dropout_factor,params_epsilon,params_input_dropout_factor,params_learning_rate,params_nb_dense_layers,params_num_hidden0,params_num_hidden1,params_num_hidden2,params_num_hidden3,params_num_hidden4,params_num_hidden5,params_num_hidden6,params_num_hidden7,params_num_hidden_input,state
84,84,0.6231555342674255,2021-08-05 09:27:17.784475,2021-08-05 09:31:24.259228,0 days 00:04:06.474753,True,512,0.3754803761124051,0.21542660588877452,0.0347402005965855,0.021692831209872965,0.20825995314008858,0.00021673295378711382,2,352.6819159513926,22.449397732439447,,,,,,,109.05084551756279,COMPLETE
85,85,0.6125673651695251,2021-08-05 09:31:24.296262,2021-08-05 09:36:25.536731,0 days 00:05:01.240469,True,512,0.42602564240503,0.19536457982776573,0.016224163974159204,0.01940785093719706,0.20499467000388916,0.00020512200529339107,3,361.2791481137661,23.45979444976833,49.12825812158244,,,,,,111.7907459714927,COMPLETE
86,86,0.6162636876106262,2021-08-05 09:36:25.570762,2021-08-05 09:41:20.942906,0 days 00:04:55.372144,True,512,0.5426078415732832,0.19834491541179577,0.022325260064105644,0.01830113758904884,0.20756161222284794,0.00021791546071339317,3,359.4373268924982,24.018942526723674,57.64954103343114,,,,,,94.449345710707,COMPLETE
87,87,0.6212411522865295,2021-08-05 09:41:20.980940,2021-08-05 09:45:30.086082,0 days 00:04:09.105142,True,512,0.5869333272844243,0.22289209547321323,0.03319803029283687,0.00319270427448461,0.2276846821135548,0.00023308154410232767,3,246.10400974858953,28.200265405361172,303.605678441745,,,,,,76.87403831982985,COMPLETE
88,88,0.6098282933235168,2021-08-05 09:45:30.124116,2021-08-05 09:50:10.534676,0 days 00:04:40.410560,True,512,0.6225969916543309,0.17455411580279054,0.03244097431208799,0.0029254545572616284,0.2186946830014367,0.00013655594399261022,3,255.00457029321814,21.831106594104064,485.49936030409043,,,,,,80.0796533919967,COMPLETE
89,89,0.6186198592185974,2021-08-05 09:50:10.572711,2021-08-05 09:53:58.414550,0 days 00:03:47.841839,True,512,0.7984804473266355,0.21917824747828205,0.0006969906431507841,0.004235390302184247,0.20480574672544016,0.0002092267906095036,3,218.56681798215715,39.595461266112466,323.5911459760364,,,,,,93.03489002129149,COMPLETE
90,90,0.6093423366546631,2021-08-05 09:53:58.451583,2021-08-05 09:56:41.511611,0 days 00:02:43.060028,True,512,0.9097832504888768,0.2195206753362049,0.05249137224275077,0.0021208669293634914,0.243106060459325,0.0002291003651386398,3,220.52935068016055,41.23302903730675,323.3181664218201,,,,,,75.08101121043556,COMPLETE
91,91,0.6212853193283081,2021-08-05 09:56:41.549646,2021-08-05 10:02:23.976506,0 days 00:05:42.426860,True,512,0.8798723406616857,0.20568286665739394,0.0012965496805492048,0.019888574454963316,0.22875792467325765,0.00019483377327808942,3,365.5502697622348,26.215044687846234,235.20656175366358,,,,,,91.73722925684092,COMPLETE
92,92,0.5914646983146667,2021-08-05 10:02:24.023549,2021-08-05 10:07:14.120902,0 days 00:04:50.097353,True,512,0.8010740970503738,0.22865776826866388,0.00024090350215150852,0.004121263048661713,0.1933075429202122,0.0001889706647568855,4,347.1252181017053,29.005783180370855,224.3568795105923,5.949592592210734,,,,,94.30947554315976,COMPLETE
93,93,0.07611992955207825,2021-08-05 10:07:14.169948,2021-08-05 10:08:20.735376,0 days 00:01:06.565428,True,512,1.265751996036318,0.20541492871998343,0.028175264930451395,0.022998761030336004,0.22656467929763213,0.0002264981969315538,3,191.92967121939884,31.59260760861238,486.63939856437895,,,,,,63.71917689801,COMPLETE
94,94,0.5949253439903259,2021-08-05 10:08:20.779416,2021-08-05 10:21:32.652289,0 days 00:13:11.872873,True,512,0.5248747959774472,0.17444545419296567,0.019412004796884617,0.19019847638349027,0.20422069675748708,0.00017269903236815086,3,234.25567422083026,26.19344539436276,341.1668944291156,,,,,,82.72767006340727,COMPLETE
95,95,0.6159838438034058,2021-08-05 10:21:32.700333,2021-08-05 10:27:31.494052,0 days 00:05:58.793719,True,512,0.5883985899351886,0.20677255182078838,0.008358793450652009,0.029630162799782016,0.21016625473804215,0.00019913691859327047,3,387.5652055558651,42.369522241946605,246.24554637568264,,,,,,92.36233506732324,COMPLETE
96,96,0.07611992955207825,2021-08-05 10:27:31.538091,2021-08-05 10:35:08.176634,0 days 00:07:36.638543,True,64,1.2489251795931662,0.20513853566459192,0.007888241463504518,0.012784297004468525,0.21089502783719744,0.00014477618259048114,3,333.4941334062629,42.08306838687896,248.6373938989697,,,,,,90.7233300393045,COMPLETE
97,97,0.555385410785675,2021-08-05 10:35:08.223676,2021-08-05 11:15:15.794375,0 days 00:40:07.570699,True,32,0.5871529887053948,0.14438826432345403,0.04580267388207265,0.037893344113060425,0.2491951923823753,0.0003909400828478572,4,256.56245450316015,20.159784234437794,202.49477381703366,341.106717395606,,,,,76.68096962449076,COMPLETE
98,98,0.07570759207010269,2021-08-05 11:15:15.839416,2021-08-05 11:15:59.666204,0 days 00:00:43.826788,False,512,0.7673938845119616,0.16395238810305318,0.061821765561862835,0.016098835552602088,0.23245008497146286,0.0002697715103578774,4,405.51086610754925,32.187940752492324,283.5280381632304,494.02731699508973,,,,,97.81237468397723,COMPLETE
99,99,0.10451211780309677,2021-08-05 11:15:59.715248,2021-08-05 11:17:05.421897,0 days 00:01:05.706649,True,512,1.0480757984135498,0.18048397962989457,0.00858316636582342,0.030299360511475058,0.18753679280201987,0.0003637401229689809,3,378.5193630491074,53.290126999281156,356.2207982749942,,,,,,89.61181716737994,COMPLETE
100,100,0.6170441508293152,2021-08-05 11:17:05.471942,2021-08-05 11:21:20.100098,0 days 00:04:14.628156,True,512,0.47375108450596437,0.20898125470800322,0.024948056692057304,0.0016662339169732508,0.22527519146032457,0.0001874848029268983,3,331.8888887944475,25.670717736113048,106.6137323928499,,,,,,106.4281955568718,COMPLETE
101,101,0.6181339025497437,2021-08-05 11:21:20.149143,2021-08-05 11:25:53.319130,0 days 00:04:33.169987,True,512,0.48758852960927834,0.21053209414178872,0.02098791512539242,0.001978203846573631,0.2229498851875895,0.00012246110485374478,3,356.17836299564226,25.88794959953365,119.58280811304574,,,,,,107.0874374727781,COMPLETE
102,102,0.6205195188522339,2021-08-05 11:25:53.362169,2021-08-05 11:30:31.579740,0 days 00:04:38.217571,True,512,0.48165072690914734,0.23508472586450455,0.023311358936641855,0.00201157878008907,0.2239344666293453,0.0001162963834107875,3,333.0021561712666,26.009112304804244,62.629649060909586,,,,,,103.83184114586943,COMPLETE
103,103,0.6145848631858826,2021-08-05 11:30:31.629785,2021-08-05 11:34:44.517359,0 days 00:04:12.887574,True,512,0.4922173678809166,0.23606517456196618,0.026628745992371947,0.00180548470698278,0.2248347397018721,0.00011903457101486,3,213.33968693608372,24.560472326123698,66.22197178625642,,,,,,104.35596416755621,COMPLETE
104,104,0.6237298846244812,2021-08-05 11:34:44.567404,2021-08-05 11:39:04.111022,0 days 00:04:19.543618,True,512,0.4676919980551901,0.2198242848741197,0.042637823326491575,0.0033679741378786878,0.2565712263221099,0.00016740988456888413,3,314.42581272668644,27.38772399552698,103.79814766853846,,,,,,85.23956344004661,COMPLETE
105,105,0.6107707619667053,2021-08-05 11:39:04.160067,2021-08-05 11:42:40.977897,0 days 00:03:36.817830,True,512,0.4630459570868579,0.1839531384628296,0.04405095567693404,0.0009677126302573042,0.27549416884646605,0.00016772738529854174,4,238.4956067145904,27.81841341454546,99.31610430249765,252.55969889901655,,,,,85.43005902503215,COMPLETE
106,106,0.6181780695915222,2021-08-05 11:42:41.027942,2021-08-05 11:46:44.554018,0 days 00:04:03.526076,True,512,0.8637232206275401,0.2237741723570981,0.05771355392380406,0.002988856578428467,0.253245752513191,0.00012362865935358316,3,273.772164919685,37.768418184436456,132.05726789345402,,,,,,107.44553163306804,COMPLETE
